channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
11.0,21.0,12.0,6.0,6.0,5.0,0.0,3.0,0.18600107341452898,0.4393855116413391,0.042816378270515765,-0.11677188784423165,0.19650717446159402,-0.0679200921595199
-9.0,12.0,8.0,4.0,-1.0,-1.0,-1.0,-2.0,0.18475487521640982,0.44365035731259683,0.04197910022245133,-0.11184143439941152,0.2001835210862301,-0.0690017668186111
-2.0,-25.0,-1.0,-3.0,-3.0,-6.0,-2.0,3.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
0.0,13.0,18.0,-1.0,1.0,2.0,0.0,2.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
-5.0,-23.0,-59.0,-1.0,0.0,-2.0,-9.0,-49.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
6.0,-3.0,40.0,6.0,1.0,2.0,7.0,21.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
0.0,47.0,-12.0,-10.0,-3.0,-8.0,-2.0,-6.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
2.0,18.0,37.0,3.0,1.0,1.0,-1.0,0.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
1.0,5.0,31.0,8.0,5.0,1.0,1.0,0.0,0.16949482353446652,0.4217221127631726,0.04026538876936514,-0.09901720422106794,0.20076541288227812,-0.06607415380625269
-1.0,6.0,22.0,0.0,-3.0,-2.0,0.0,-2.0,0.16954532251554635,0.4218633182747028,0.03908527847147003,-0.11542001384848317,0.19172055863175297,-0.06283381345266782
3.0,1.0,-6.0,1.0,-5.0,-4.0,1.0,-1.0,0.18600107341452898,0.4393855116413391,0.042816378270515765,-0.11677188784423165,0.19650717446159402,-0.0679200921595199
0.0,4.0,-13.0,6.0,1.0,4.0,-3.0,8.0,0.18475487521640982,0.44365035731259683,0.04197910022245133,-0.11184143439941152,0.2001835210862301,-0.0690017668186111
3.0,0.0,-2.0,5.0,3.0,4.0,4.0,-4.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
-1.0,7.0,22.0,3.0,-2.0,-3.0,-3.0,-7.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
-1.0,-2.0,55.0,-4.0,-5.0,-3.0,-2.0,-10.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
-2.0,-4.0,-3.0,-1.0,2.0,1.0,0.0,0.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
2.0,-5.0,23.0,-20.0,6.0,4.0,-1.0,2.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
4.0,5.0,73.0,6.0,1.0,-1.0,0.0,2.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
-5.0,-14.0,-10.0,-2.0,-10.0,-7.0,-4.0,-1.0,0.16949482353446652,0.4217221127631726,0.04026538876936514,-0.09901720422106794,0.20076541288227812,-0.06607415380625269
-16.0,2.0,-10.0,-3.0,-2.0,0.0,-1.0,9.0,0.16954532251554635,0.4218633182747028,0.03908527847147003,-0.11542001384848317,0.19172055863175297,-0.06283381345266782
0.0,2.0,-3.0,2.0,4.0,3.0,2.0,2.0,0.18600107341452898,0.4393855116413391,0.042816378270515765,-0.11677188784423165,0.19650717446159402,-0.0679200921595199
-2.0,5.0,109.0,-12.0,-3.0,-2.0,-1.0,0.0,0.18475487521640982,0.44365035731259683,0.04197910022245133,-0.11184143439941152,0.2001835210862301,-0.0690017668186111
-4.0,-21.0,-8.0,8.0,-4.0,-8.0,-4.0,-4.0,0.18219302943003252,0.4445716851147775,0.04128997626973263,-0.10347907631245785,0.20479918010097736,-0.0701209645959346
-4.0,-1.0,2.0,-9.0,-4.0,0.0,-1.0,-2.0,0.1788634008413246,0.4420577935547091,0.04096084077693518,-0.09352275531910974,0.20943375772046155,-0.07114925409638358
1.0,-5.0,-22.0,-9.0,3.0,1.0,-1.0,1.0,0.17546617099738018,0.4370577499504553,0.0410182173718765,-0.0844236286158925,0.2130213430165811,-0.07182187881494943
0.0,22.0,11.0,1.0,0.0,-4.0,2.0,-1.0,0.17263305425875272,0.43118530247270487,0.04126998719708641,-0.07885654295386918,0.21448623171432493,-0.07180391482743077
-1.0,-13.0,-8.0,-1.0,-3.0,-4.0,0.0,1.0,0.17072754322083233,0.42609824029990795,0.04139026920205868,-0.07906013412962082,0.2129944291847703,-0.0708365241109861
1.0,5.0,-1.0,1.0,1.0,2.0,-2.0,2.0,0.16976608573431082,0.42288816060847617,0.041087431933781615,-0.08604315330074734,0.20826149671462932,-0.06886504692826502
