Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:09:37 PM
Collection Length (seconds):, 45.7515
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0197308, 0.0078889, 0.513, -0.3183594, 0.513, -0.9589844, 0.513, 0.1225586, 0.0197308, -0.0072175, 0.513, 0.3618164, 0.513, -0.9291992, 0.513, -0.1533203, 0.0197308, -0.0065461, 0.513, 0.128418, 0.513, -1.003418, 0.513, -0.0058594, 0.0197308, 0.0105745, 0.513, -0.1928711, 0.513, -0.9838867, 0.513, 0.0366211, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.0011749, 0.5265, -0.3266602, 0.5265, -0.9584961, 0.5265, 0.1206055, 0.02025, -0.008896, 0.5265, 0.3574219, 0.5265, -0.9316406, 0.5265, -0.152832, 0.02025, -0.0075532, 0.5265, 0.1210938, 0.5265, -1.0063477, 0.5265, -0.0053711, 0.02025, 0.0125887, 0.5265, -0.1967773, 0.5265, -0.9863281, 0.5265, 0.0356445, , , , , , , , , , , , , , , , , , , , , , 
0.0207692, -0.0068818, 0.54, -0.3320312, 0.54, -0.9594727, 0.54, 0.1210938, 0.0207692, -0.0095674, 0.54, 0.355957, 0.54, -0.9291992, 0.54, -0.1533203, 0.0207692, -0.0078889, 0.54, 0.1152344, 0.54, -1.0083008, 0.54, -0.0014648, 0.0207692, 0.017792, 0.54, -0.1982422, 0.54, -0.9848633, 0.54, 0.0361328, , , , , , , , , , , , , , , , , , , , , , 
0.0212885, -0.0164492, 0.5535, -0.3374023, 0.5535, -0.9624023, 0.5535, 0.1225586, 0.0212885, -0.0095674, 0.5535, 0.362793, 0.5535, -0.9311523, 0.5535, -0.1489258, 0.0212885, -0.0065461, 0.5535, 0.1137695, 0.5535, -1.0092773, 0.5535, 0.0004883, 0.0212885, 0.0256809, 0.5535, -0.2011719, 0.5535, -0.9858398, 0.5535, 0.0327148, , , , , , , , , , , , , , , , , , , , , , 
0.0218077, -0.0290379, 0.567, -0.3320312, 0.567, -0.9609375, 0.567, 0.1220703, 0.0218077, -0.0109102, 0.567, 0.3652344, 0.567, -0.9321289, 0.567, -0.1484375, 0.0218077, -0.003357, 0.567, 0.1147461, 0.567, -1.0126953, 0.567, 0, 0.0218077, 0.033402, 0.567, -0.203125, 0.567, -0.9858398, 0.567, 0.0317383, , , , , , , , , , , , , , , , , , , , , , 
0.0223269, -0.0377661, 0.5805, -0.3256836, 0.5805, -0.9609375, 0.5805, 0.1254883, 0.0223269, -0.0119173, 0.5805, 0.3710938, 0.5805, -0.9345703, 0.5805, -0.1474609, 0.0223269, -0.0001678, 0.5805, 0.1132812, 0.5805, -1.0092773, 0.5805, -0.0004883, 0.0223269, 0.0384375, 0.5805, -0.2016602, 0.5805, -0.9868164, 0.5805, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0228462, -0.0421302, 0.594, -0.3256836, 0.594, -0.9580078, 0.594, 0.1259766, 0.0228462, -0.0099031, 0.594, 0.3696289, 0.594, -0.9326172, 0.594, -0.1494141, 0.0228462, 0.0015106, 0.594, 0.1113281, 0.594, -1.0078125, 0.594, -0.0004883, 0.0228462, 0.0419623, 0.594, -0.2045898, 0.594, -0.9863281, 0.594, 0.0317383, , , , , , , , , , , , , , , , , , , , , , 
0.0233654, -0.0451514, 0.6075, -0.3276367, 0.6075, -0.9589844, 0.6075, 0.1274414, 0.0233654, -0.0075532, 0.6075, 0.3706055, 0.6075, -0.9321289, 0.6075, -0.1533203, 0.0233654, 0.0015106, 0.6075, 0.1108398, 0.6075, -1.0112305, 0.6075, 0.0029297, 0.0233654, 0.0448157, 0.6075, -0.2084961, 0.6075, -0.9853516, 0.6075, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0238846, -0.0451514, 0.621, -0.3388672, 0.621, -0.9604492, 0.621, 0.1289062, 0.0238846, -0.0082246, 0.621, 0.3696289, 0.621, -0.9306641, 0.621, -0.1503906, 0.0238846, 0.0010071, 0.621, 0.1074219, 0.621, -1.0166016, 0.621, 0.0083008, 0.0238846, 0.0454871, 0.621, -0.2158203, 0.621, -0.987793, 0.621, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0244038, -0.0364233, 0.6345, -0.3496094, 0.6345, -0.9589844, 0.6345, 0.1303711, 0.0244038, -0.0092317, 0.6345, 0.3681641, 0.6345, -0.9335938, 0.6345, -0.1445312, 0.0244038, -0.0001678, 0.6345, 0.1064453, 0.6345, -1.0180664, 0.6345, 0.0097656, 0.0244038, 0.0407874, 0.6345, -0.2241211, 0.6345, -0.9887695, 0.6345, 0.0263672, , , , , , , , , , , , , , , , , , , , , , 
0.0249231, -0.0213169, 0.648, -0.362793, 0.648, -0.9521484, 0.648, 0.1347656, 0.0249231, -0.0090639, 0.648, 0.3740234, 0.648, -0.9331055, 0.648, -0.1416016, 0.0249231, -0.0011749, 0.648, 0.0986328, 0.648, -1.0195312, 0.648, 0.0244141, 0.0249231, 0.0340734, 0.648, -0.2402344, 0.648, -0.9897461, 0.648, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
