cv_inf_ms,proc_time_ms
115.721,137.9
110.904,128.71
109.465,126.81
113.076,133.6
115.884,133.42
146.619,168.8
154.335,193.44
96.282,114.76
86.409,106.84
153.358,181.72
115.075,135.92
111.958,132.74
127.563,145.46
132.493,156.26
108.849,134.62
121.657,143.4
117.196,138.79
84.585,108.21
84.172,106.0
103.441,127.09
141.323,174.41
128.517,154.91
121.035,144.39
92.842,116.36
97.466,119.75
95.938,117.72
89.679,113.82
79.548,107.65
127.194,153.74
75.357,101.92
116.653,139.21
95.534,122.79
100.584,127.13
111.286,140.92
123.641,147.21
117.377,150.52
146.231,173.44
121.805,149.98
935.726,965.65
128.642,139.21
143.248,152.71
164.644,178.19
74.189,95.91
156.87,169.22
135.086,148.77
159.207,169.74
119.098,131.1
129.887,148.55
125.804,135.72
113.783,131.97
113.49,124.17
118.265,127.11
109.662,122.08
126.123,136.24
108.356,116.66
153.087,174.97
115.897,135.27
145.308,160.81
112.925,146.89
116.604,133.84
137.712,161.4
121.822,131.95
117.623,132.45
118.056,133.37
131.553,142.35
110.219,123.63
113.436,122.41
119.232,132.42
122.369,135.65
143.548,153.96
142.697,156.86
145.446,167.55
127.08,143.78
146.66,158.35
124.422,137.54
131.372,143.37
134.723,149.3
159.767,176.19
87.152,101.18
154.28,176.95
95.404,110.23
92.182,121.75
112.411,130.42
96.344,112.38
103.296,126.72
149.558,167.6
133.108,153.0
110.714,158.08
118.834,167.71
109.474,161.52
145.317,205.31
143.126,164.35
98.724,124.97
154.663,182.51
135.944,162.8
120.665,138.4
123.66,143.54
115.585,136.25
94.06,115.04
130.309,154.17
115.715,136.65
108.202,128.34
125.381,147.3
120.39,142.4
132.168,155.73
111.409,138.99
160.669,188.46
113.27,141.61
117.686,142.45
114.119,138.42
113.901,138.36
105.893,129.04
120.119,149.02
110.774,135.02
146.229,182.66
98.305,121.1
128.121,152.71
98.775,121.29
90.822,123.45
104.385,138.37
101.288,129.37
134.523,181.57
142.9,172.05
120.191,175.05
113.536,130.3
113.083,134.76
102.433,128.99
129.479,159.13
127.966,160.93
134.606,158.52
101.411,125.25
127.983,153.01
125.138,145.82
96.779,119.63
87.352,108.9
83.116,107.95
99.051,124.67
100.323,123.25
95.914,123.33
101.934,129.2
126.275,147.64
110.687,138.34
108.521,131.14
92.386,119.04
99.743,130.63
130.215,165.58
146.931,180.96
135.647,177.49
130.424,171.45
100.098,153.63
132.32,155.47
109.255,150.26
111.263,127.37
104.841,125.4
84.788,101.29
94.976,117.87
87.624,107.88
114.877,136.32
93.991,115.75
131.154,148.61
87.694,109.6
112.307,133.95
100.944,124.36
124.833,145.73
98.399,122.37
94.265,123.86
112.608,132.25
111.522,132.31
103.235,136.11
131.127,163.09
79.4,99.68
100.404,124.54
145.883,169.36
105.07,125.97
125.003,149.86
107.381,127.93
148.326,172.65
115.996,134.61
109.529,130.62
125.278,146.81
111.629,133.04
144.122,162.17
119.901,149.83
116.967,141.56
130.994,161.26
102.117,123.43
100.28,121.42
122.473,144.49
100.791,121.41
130.104,157.72
113.806,133.07
125.849,146.88
122.045,144.41
128.691,157.17
130.457,154.49
87.284,111.25
162.983,188.17
122.864,146.57
160.303,179.44
124.231,144.26
136.097,162.61
133.79,154.43
112.123,134.56
133.308,155.45
117.971,171.47
127.039,171.28
145.982,183.35
152.5,199.2
96.046,112.72
139.176,161.52
109.963,129.47
110.12,130.44
114.349,131.67
122.391,141.11
110.524,129.02
115.632,138.17
128.049,144.39
114.394,131.37
127.66,144.74
127.264,144.16
113.251,138.63
112.149,131.87
93.861,120.72
