cv_inf_ms,proc_time_ms
110.656,133.77
128.499,154.74
116.836,137.22
120.029,152.04
90.139,117.67
139.489,165.14
95.959,124.6
79.392,113.56
120.649,149.9
135.192,177.88
114.384,137.47
125.745,151.43
129.123,150.35
111.881,140.44
128.18,175.55
134.758,216.71
141.707,162.69
111.822,129.09
125.024,149.18
144.608,173.97
108.034,129.14
72.726,91.0
88.894,114.2
93.229,118.93
98.382,129.77
104.842,134.94
67.829,84.14
143.005,161.4
114.961,134.98
116.392,138.98
109.764,135.62
117.387,136.72
105.653,128.51
94.458,118.38
103.517,126.38
112.328,131.8
96.779,120.17
116.266,133.06
131.186,161.6
134.071,174.29
122.27,150.31
121.41,144.74
121.503,138.74
102.411,134.12
99.334,119.48
128.699,147.31
109.113,135.04
106.937,123.44
122.232,149.98
96.652,116.73
95.409,119.85
97.728,126.28
106.684,132.22
100.394,126.58
100.19,127.91
116.856,134.44
102.807,128.26
97.372,122.81
133.333,153.14
114.016,136.44
128.235,153.42
97.248,119.65
114.38,133.2
117.476,136.14
134.919,161.2
101.474,124.4
117.438,167.44
113.856,160.1
111.811,137.67
136.092,166.36
112.167,154.23
145.09,211.73
131.525,183.91
110.136,167.77
105.314,127.77
100.898,126.05
109.218,138.27
123.312,144.69
109.732,133.43
113.893,140.23
130.547,156.59
142.76,169.36
95.43,127.05
117.33,162.95
133.886,175.99
149.838,189.6
111.077,142.22
115.648,139.35
132.532,200.29
133.706,206.96
101.344,127.44
115.368,184.35
156.872,229.54
119.575,150.17
145.091,210.3
100.609,162.4
137.063,196.76
120.41,177.25
111.281,178.22
112.269,183.32
99.721,160.73
115.208,180.88
119.216,187.77
132.858,192.4
92.141,144.24
129.054,177.11
93.289,122.78
104.882,186.44
115.611,180.12
124.764,186.41
135.849,199.18
126.65,152.64
123.545,152.56
119.041,156.75
117.158,146.86
132.224,167.03
169.297,197.23
164.607,193.18
128.044,159.84
114.369,152.18
155.636,179.77
139.326,168.79
117.354,147.65
127.464,160.89
113.153,165.08
133.591,181.2
127.236,171.34
138.051,177.79
127.646,160.47
119.702,142.35
143.942,171.98
135.425,163.35
105.548,133.74
87.221,115.63
95.689,127.34
122.266,153.57
131.587,163.89
151.658,179.33
136.656,163.89
107.96,140.79
130.711,171.93
129.916,154.82
98.96,120.2
112.176,130.25
96.183,132.93
120.287,139.68
140.685,167.9
107.4,157.71
131.416,158.69
116.812,166.5
147.085,176.2
111.982,132.92
108.917,134.57
89.811,108.06
98.94,124.53
95.999,121.57
125.28,153.97
162.544,187.51
112.338,135.04
120.161,146.78
123.531,145.15
136.539,157.74
135.729,160.86
114.382,134.75
133.173,198.39
134.418,162.47
96.384,119.95
95.857,122.46
126.283,154.51
110.614,132.69
123.775,147.19
113.998,140.1
117.035,139.02
119.72,143.87
138.943,164.74
141.536,171.47
116.655,137.25
115.325,133.48
106.64,131.24
115.831,137.36
105.839,126.2
117.641,141.47
113.421,137.43
120.191,144.94
116.821,136.31
91.939,117.36
132.869,155.76
97.97,130.25
114.668,142.65
84.498,107.36
113.467,137.92
148.289,173.12
86.766,110.36
92.036,120.09
84.459,112.63
91.677,121.82
90.485,117.02
94.082,124.67
102.697,132.22
118.49,144.16
125.396,153.27
114.332,144.96
114.584,144.08
117.212,147.12
143.787,174.52
115.283,136.07
115.524,142.34
117.649,155.69
96.669,126.42
127.892,162.89
133.215,158.04
104.749,135.56
136.845,165.11
134.771,197.37
108.224,132.23
121.385,140.63
113.989,127.09
103.239,132.07
92.528,111.11
114.631,133.64
124.035,139.1
123.44,151.19
108.692,130.88
147.812,168.9
124.045,143.57
84.894,104.04
126.628,153.18
102.713,124.39
98.137,119.15
90.867,122.05
98.02,123.32
81.544,104.66
106.065,125.13
125.691,158.77
114.509,193.17
127.243,146.71
113.959,130.89
126.335,145.03
96.327,117.25
113.769,134.23
118.686,136.83
106.634,134.61
126.937,147.17
150.525,170.17
92.506,110.88
77.585,100.86
118.382,137.63
92.549,111.09
97.684,118.8
117.385,135.32
103.965,130.49
100.867,124.94
116.37,136.54
147.373,171.47
146.293,179.79
124.503,157.25
150.432,182.67
141.008,162.18
148.778,173.16
146.762,176.25
168.97,187.32
104.765,121.36
134.873,153.31
132.899,153.17
136.853,154.64
140.726,157.19
110.356,128.82
107.042,126.07
119.338,137.78
132.906,148.57
117.912,133.99
120.652,136.69
140.024,162.53
150.087,166.39
130.695,192.44
110.68,129.26
127.747,145.77
127.558,141.99
133.942,147.74
119.823,145.85
118.875,180.7
119.995,138.34
114.06,128.97
122.095,136.6
132.419,148.34
146.184,166.65
