Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:03:46 PM
Collection Length (seconds):, 34.5735
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0103846, 0.0632792, 0.27, -0.2539062, 0.27, -0.9970703, 0.27, 0.065918, 0.0103846, -0.0052033, 0.27, 0.2729492, 0.27, -0.9604492, 0.27, -0.168457, 0.0103846, -0.014435, 0.27, 0.1396484, 0.27, -1.0043945, 0.27, -0.0976562, 0.0103846, -0.0038605, 0.27, -0.0908203, 0.27, -0.9990234, 0.27, 0.0292969, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, 0.0532082, 0.2835, -0.2475586, 0.2835, -0.9970703, 0.2835, 0.0673828, 0.0109038, -0.0031891, 0.2835, 0.2739258, 0.2835, -0.9589844, 0.2835, -0.1699219, 0.0109038, -0.0162814, 0.2835, 0.1386719, 0.2835, -1.0009766, 0.2835, -0.0986328, 0.0109038, -0.0018463, 0.2835, -0.0942383, 0.2835, -0.9975586, 0.2835, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, 0.0417945, 0.297, -0.2416992, 0.297, -0.9970703, 0.297, 0.0717773, 0.0114231, -0.0038605, 0.297, 0.2788086, 0.297, -0.9575195, 0.297, -0.1708984, 0.0114231, -0.0172885, 0.297, 0.1386719, 0.297, -1.0029297, 0.297, -0.1010742, 0.0114231, 0.0018463, 0.297, -0.0947266, 0.297, -0.996582, 0.297, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, 0.0307164, 0.3105, -0.2407227, 0.3105, -0.9951172, 0.3105, 0.0673828, 0.0119423, -0.005539, 0.3105, 0.2802734, 0.3105, -0.9560547, 0.3105, -0.168457, 0.0119423, -0.0166171, 0.3105, 0.1411133, 0.3105, -1.0009766, 0.3105, -0.1083984, 0.0119423, 0.0062104, 0.3105, -0.0913086, 0.3105, -0.9960938, 0.3105, 0.0332031, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, 0.0219883, 0.324, -0.2431641, 0.324, -0.9946289, 0.324, 0.0673828, 0.0124615, -0.0078889, 0.324, 0.2753906, 0.324, -0.9580078, 0.324, -0.1704102, 0.0124615, -0.0169528, 0.324, 0.1430664, 0.324, -0.9990234, 0.324, -0.1049805, 0.0124615, 0.0102388, 0.324, -0.0849609, 0.324, -0.9995117, 0.324, 0.034668, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, 0.014435, 0.3375, -0.2451172, 0.3375, -0.9995117, 0.3375, 0.0654297, 0.0129808, -0.0078889, 0.3375, 0.2661133, 0.3375, -0.9570312, 0.3375, -0.1728516, 0.0129808, -0.0162814, 0.3375, 0.1459961, 0.3375, -1, 0.3375, -0.1005859, 0.0129808, 0.0129244, 0.3375, -0.081543, 0.3375, -1.0014648, 0.3375, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.0052033, 0.351, -0.2524414, 0.351, -0.9990234, 0.351, 0.0639648, 0.0135, -0.0065461, 0.351, 0.2646484, 0.351, -0.9594727, 0.351, -0.1723633, 0.0135, -0.0135958, 0.351, 0.144043, 0.351, -1.0019531, 0.351, -0.1035156, 0.0135, 0.0152743, 0.351, -0.0859375, 0.351, -1.0014648, 0.351, 0.0297852, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, -0.0083925, 0.3645, -0.2543945, 0.3645, -0.9985352, 0.3645, 0.0644531, 0.0140192, -0.0068818, 0.3645, 0.2675781, 0.3645, -0.9589844, 0.3645, -0.1708984, 0.0140192, -0.0135958, 0.3645, 0.1411133, 0.3645, -1.0053711, 0.3645, -0.1049805, 0.0140192, 0.0193027, 0.3645, -0.0874023, 0.3645, -1.0019531, 0.3645, 0.0273438, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, -0.0223239, 0.378, -0.2524414, 0.378, -0.9990234, 0.378, 0.0664062, 0.0145385, -0.0068818, 0.378, 0.2734375, 0.378, -0.9594727, 0.378, -0.1674805, 0.0145385, -0.0119173, 0.378, 0.1367188, 0.378, -1.0073242, 0.378, -0.1025391, 0.0145385, 0.0226596, 0.378, -0.0849609, 0.378, -1.0039062, 0.378, 0.0302734, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, -0.0339055, 0.3915, -0.2475586, 0.3915, -0.9985352, 0.3915, 0.0673828, 0.0150577, -0.0062104, 0.3915, 0.2817383, 0.3915, -0.9580078, 0.3915, -0.1660156, 0.0150577, -0.0082246, 0.3915, 0.1367188, 0.3915, -1.0073242, 0.3915, -0.1020508, 0.0150577, 0.0229953, 0.3915, -0.0874023, 0.3915, -1.0019531, 0.3915, 0.0332031, , , , , , , , , , , , , , , , , , , , , , 
