Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 11:24:02 AM
Collection Length (seconds):, 21.9105
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0171346, 0.0018463, 0.4455, -0.5317383, 0.4455, -0.8710938, 0.4455, 0.0742188, 0.0171346, -0.0164492, 0.4455, 0.4975586, 0.4455, -0.8388672, 0.4455, 0.1972656, 0.0171346, -0.0001678, 0.4455, 0.0131836, 0.4455, -0.9580078, 0.4455, 0.2954102, 0.0171346, 0.0261845, 0.4455, -0.3950195, 0.4455, -0.9257812, 0.4455, -0.1669922, , , , , , , , , , , , , , , , , , , , , , 
0.0176538, 0.0132601, 0.459, -0.5307617, 0.459, -0.8701172, 0.459, 0.0717773, 0.0176538, -0.0169528, 0.459, 0.4916992, 0.459, -0.8378906, 0.459, 0.1923828, 0.0176538, -0.0005035, 0.459, 0.0112305, 0.459, -0.9575195, 0.459, 0.2919922, 0.0176538, 0.026688, 0.459, -0.4038086, 0.459, -0.9248047, 0.459, -0.1733398, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, 0.0226596, 0.4725, -0.5317383, 0.4725, -0.8735352, 0.4725, 0.0761719, 0.0181731, -0.0166171, 0.4725, 0.4975586, 0.4725, -0.8330078, 0.4725, 0.1982422, 0.0181731, -0.0025177, 0.4725, 0.0151367, 0.4725, -0.9541016, 0.4725, 0.2856445, 0.0181731, 0.0263523, 0.4725, -0.3920898, 0.4725, -0.9228516, 0.4725, -0.1743164, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, 0.0265202, 0.486, -0.5283203, 0.486, -0.8652344, 0.486, 0.0756836, 0.0186923, -0.0146029, 0.486, 0.5048828, 0.486, -0.8310547, 0.486, 0.1889648, 0.0186923, -0.0035248, 0.486, 0.0161133, 0.486, -0.9545898, 0.486, 0.2841797, 0.0186923, 0.023331, 0.486, -0.3833008, 0.486, -0.9238281, 0.486, -0.168457, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, 0.0327306, 0.4995, -0.527832, 0.4995, -0.8647461, 0.4995, 0.0751953, 0.0192115, -0.0139315, 0.4995, 0.5097656, 0.4995, -0.8325195, 0.4995, 0.1987305, 0.0192115, -0.0048676, 0.4995, 0.0224609, 0.4995, -0.9501953, 0.4995, 0.2880859, 0.0192115, 0.0199741, 0.4995, -0.3769531, 0.4995, -0.9223633, 0.4995, -0.1689453, , , , , , , , , , , , , , , , , , , , , , 
0.0197308, 0.0391089, 0.513, -0.5258789, 0.513, -0.8632812, 0.513, 0.0742188, 0.0197308, -0.0142672, 0.513, 0.4985352, 0.513, -0.828125, 0.513, 0.1879883, 0.0197308, -0.0048676, 0.513, 0.0332031, 0.513, -0.9472656, 0.513, 0.2910156, 0.0197308, 0.0193027, 0.513, -0.3789062, 0.513, -0.9204102, 0.513, -0.168457, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.0381018, 0.5265, -0.5219727, 0.5265, -0.8652344, 0.5265, 0.0751953, 0.02025, -0.0139315, 0.5265, 0.4985352, 0.5265, -0.828125, 0.5265, 0.1899414, 0.02025, -0.005539, 0.5265, 0.0327148, 0.5265, -0.9501953, 0.5265, 0.2910156, 0.02025, 0.0199741, 0.5265, -0.3842773, 0.5265, -0.9204102, 0.5265, -0.168457, , , , , , , , , , , , , , , , , , , , , , 
0.0207692, 0.0354162, 0.54, -0.5317383, 0.54, -0.8701172, 0.54, 0.0766602, 0.0207692, -0.0125887, 0.54, 0.5043945, 0.54, -0.8378906, 0.54, 0.1933594, 0.0207692, -0.0068818, 0.54, 0.0224609, 0.54, -0.953125, 0.54, 0.2851562, 0.0207692, 0.0199741, 0.54, -0.3896484, 0.54, -0.921875, 0.54, -0.171875, , , , , , , , , , , , , , , , , , , , , , 
0.0212885, 0.0354162, 0.5535, -0.5283203, 0.5535, -0.8701172, 0.5535, 0.0751953, 0.0212885, -0.0119173, 0.5535, 0.5009766, 0.5535, -0.8334961, 0.5535, 0.1904297, 0.0212885, -0.0095674, 0.5535, 0.012207, 0.5535, -0.9555664, 0.5535, 0.2817383, 0.0212885, 0.0179599, 0.5535, -0.3867188, 0.5535, -0.9257812, 0.5535, -0.1699219, , , , , , , , , , , , , , , , , , , , , , 
0.0218077, 0.0310521, 0.567, -0.5224609, 0.567, -0.8710938, 0.567, 0.074707, 0.0218077, -0.0109102, 0.567, 0.5004883, 0.567, -0.8320312, 0.567, 0.1987305, 0.0218077, -0.0105745, 0.567, 0.0205078, 0.567, -0.953125, 0.567, 0.2885742, 0.0218077, 0.0159457, 0.567, -0.3798828, 0.567, -0.9228516, 0.567, -0.1699219, , , , , , , , , , , , , , , , , , , , , , 
