Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
10_41_08_359,0.0,-2.0,1.0,-3.0,0.0,15.0,8.0,0.0,1.27685546875,0.30126953125,-0.02978515625,-1.2804878048780488,-2.1341463414634148,0.5487804878048781
10_41_08_359,9.0,6.0,1.0,11.0,3.0,-5.0,-84.0,23.0,1.34619140625,0.40625,1.0185546875,-0.5487804878048781,-1.2195121951219514,0.9756097560975611
10_41_08_359,-8.0,-4.0,2.0,3.0,-5.0,-27.0,44.0,-6.0,0.51611328125,0.0263671875,0.013671875,11.585365853658537,-3.536585365853659,-1.707317073170732
10_41_08_359,6.0,3.0,-7.0,8.0,6.0,36.0,-20.0,29.0,0.67236328125,0.02587890625,-0.74755859375,9.207317073170733,-5.487804878048781,-0.48780487804878053
10_41_08_359,-9.0,-1.0,-5.0,-6.0,1.0,20.0,25.0,-11.0,1.45068359375,0.384765625,0.453125,-1.9512195121951221,-3.780487804878049,1.1585365853658538
10_41_08_359,3.0,3.0,0.0,6.0,-2.0,-19.0,-12.0,10.0,1.1005859375,0.30029296875,0.9189453125,3.353658536585366,-1.829268292682927,-0.9146341463414634
10_41_08_359,4.0,1.0,-1.0,-2.0,1.0,16.0,-2.0,1.0,0.40673828125,-0.02783203125,-0.36865234375,13.04878048780488,-2.8658536585365857,-1.7682926829268295
10_41_08_359,-2.0,-1.0,4.0,17.0,2.0,-27.0,-11.0,11.0,0.85498046875,0.1083984375,-0.65771484375,8.902439024390244,-4.329268292682928,-0.5487804878048781
10_41_08_359,1.0,2.0,-5.0,-5.0,-3.0,-2.0,-7.0,-11.0,1.50146484375,0.4208984375,0.6064453125,7.01219512195122,-4.573170731707317,0.1829268292682927
10_41_08_359,1.0,2.0,-7.0,3.0,-3.0,-3.0,-8.0,17.0,1.048828125,0.2724609375,0.8740234375,13.902439024390246,-3.414634146341464,-0.853658536585366
10_41_08_420,6.0,6.0,5.0,7.0,4.0,16.0,51.0,5.0,0.77392578125,0.1455078125,0.5087890625,4.207317073170732,-1.0365853658536586,-0.9756097560975611
10_41_08_420,5.0,2.0,-5.0,10.0,0.0,-5.0,-13.0,5.0,0.4462890625,-0.04931640625,-0.763671875,7.378048780487806,-2.987804878048781,-0.6707317073170732
10_41_08_420,-7.0,-1.0,6.0,1.0,4.0,9.0,-1.0,-9.0,1.27685546875,0.30126953125,-0.02978515625,-1.2804878048780488,-2.1341463414634148,0.5487804878048781
10_41_08_420,0.0,2.0,-5.0,0.0,-1.0,-6.0,-7.0,9.0,1.34619140625,0.40625,1.0185546875,-0.5487804878048781,-1.2195121951219514,0.9756097560975611
10_41_08_420,1.0,-2.0,0.0,-12.0,-4.0,-1.0,6.0,-2.0,0.51611328125,0.0263671875,0.013671875,11.585365853658537,-3.536585365853659,-1.707317073170732
10_41_08_420,3.0,2.0,-6.0,7.0,1.0,-6.0,-10.0,15.0,0.67236328125,0.02587890625,-0.74755859375,9.207317073170733,-5.487804878048781,-0.48780487804878053
10_41_08_420,-1.0,-1.0,-2.0,1.0,-1.0,-2.0,5.0,-5.0,1.45068359375,0.384765625,0.453125,-1.9512195121951221,-3.780487804878049,1.1585365853658538
10_41_08_420,8.0,2.0,-5.0,12.0,2.0,11.0,-6.0,21.0,1.1005859375,0.30029296875,0.9189453125,3.353658536585366,-1.829268292682927,-0.9146341463414634
10_41_08_420,-3.0,-1.0,0.0,-8.0,1.0,5.0,12.0,-5.0,0.40673828125,-0.02783203125,-0.36865234375,13.04878048780488,-2.8658536585365857,-1.7682926829268295
10_41_08_420,9.0,3.0,-4.0,10.0,1.0,2.0,13.0,13.0,0.85498046875,0.1083984375,-0.65771484375,8.902439024390244,-4.329268292682928,-0.5487804878048781
10_41_08_482,-4.0,-3.0,4.0,-10.0,-3.0,4.0,8.0,-18.0,0.42431640625,-0.02001953125,-0.3115234375,3.1097560975609757,-0.853658536585366,-2.439024390243903
10_41_08_482,4.0,3.0,-3.0,0.0,0.0,-3.0,-5.0,9.0,0.89599609375,0.123046875,-0.6123046875,0.1829268292682927,-1.7682926829268295,0.7926829268292683
10_41_08_482,12.0,-13.0,5.0,-5.0,-1.0,5.0,10.0,-2.0,1.49609375,0.4287109375,0.791015625,-4.085365853658537,-0.1829268292682927,2.5
10_41_08_482,-2.0,4.0,-5.0,1.0,0.0,-18.0,-15.0,7.0,0.77392578125,0.1455078125,0.5087890625,4.207317073170732,-1.0365853658536586,-0.9756097560975611
10_41_08_482,-6.0,-6.0,4.0,-17.0,-8.0,0.0,-1.0,-21.0,0.4462890625,-0.04931640625,-0.763671875,7.378048780487806,-2.987804878048781,-0.6707317073170732
10_41_08_482,4.0,4.0,-2.0,4.0,0.0,1.0,2.0,9.0,1.27685546875,0.30126953125,-0.02978515625,-1.2804878048780488,-2.1341463414634148,0.5487804878048781
10_41_08_482,-6.0,-3.0,2.0,-5.0,-4.0,11.0,15.0,-16.0,1.34619140625,0.40625,1.0185546875,-0.5487804878048781,-1.2195121951219514,0.9756097560975611
10_41_08_482,4.0,1.0,-3.0,7.0,5.0,4.0,3.0,22.0,0.51611328125,0.0263671875,0.013671875,11.585365853658537,-3.536585365853659,-1.707317073170732
10_41_08_482,-8.0,-3.0,1.0,-11.0,-6.0,-17.0,-16.0,-49.0,0.67236328125,0.02587890625,-0.74755859375,9.207317073170733,-5.487804878048781,-0.48780487804878053
10_41_08_482,6.0,6.0,-1.0,10.0,9.0,1.0,22.0,29.0,1.45068359375,0.384765625,0.453125,-1.9512195121951221,-3.780487804878049,1.1585365853658538
10_41_08_533,-11.0,-6.0,4.0,1.0,-1.0,8.0,2.0,-17.0,0.49658203125,-0.0390625,-0.79296875,-3.5975609756097566,3.8414634146341466,-0.6097560975609757
10_41_08_533,5.0,2.0,-4.0,1.0,0.0,-2.0,-5.0,7.0,1.384765625,0.3623046875,0.1455078125,-11.646341463414634,5.548780487804878,1.707317073170732
10_41_08_533,-8.0,-8.0,1.0,-8.0,-2.0,3.0,9.0,-13.0,1.25390625,0.37353515625,0.96728515625,-7.926829268292684,4.024390243902439,-0.06097560975609757
10_41_08_533,9.0,11.0,2.0,-6.0,1.0,-4.0,-1.0,-1.0,0.42431640625,-0.02001953125,-0.3115234375,3.1097560975609757,-0.853658536585366,-2.439024390243903
10_41_08_533,-6.0,-1.0,2.0,-8.0,-1.0,7.0,10.0,-13.0,0.89599609375,0.123046875,-0.6123046875,0.1829268292682927,-1.7682926829268295,0.7926829268292683
10_41_08_533,-9.0,1.0,-1.0,0.0,4.0,-4.0,-6.0,5.0,1.49609375,0.4287109375,0.791015625,-4.085365853658537,-0.1829268292682927,2.5
10_41_08_533,-6.0,-4.0,3.0,3.0,-3.0,1.0,6.0,-14.0,0.77392578125,0.1455078125,0.5087890625,4.207317073170732,-1.0365853658536586,-0.9756097560975611
10_41_08_533,4.0,2.0,-1.0,4.0,1.0,-4.0,-6.0,5.0,0.4462890625,-0.04931640625,-0.763671875,7.378048780487806,-2.987804878048781,-0.6707317073170732
10_41_08_533,-7.0,-4.0,3.0,-12.0,-5.0,1.0,12.0,-17.0,1.27685546875,0.30126953125,-0.02978515625,-1.2804878048780488,-2.1341463414634148,0.5487804878048781
