Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:48:49 PM
Collection Length (seconds):, 28.8495
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0176538, 0.0164492, 0.459, -0.2758789, 0.459, -0.9755859, 0.459, 0.1235352, 0.0176538, -0.0065461, 0.459, 0.3520508, 0.459, -0.9282227, 0.459, -0.1889648, 0.0176538, -0.0035248, 0.459, 0.1210938, 0.459, -1.0078125, 0.459, -0.0073242, 0.0176538, 0.0219883, 0.459, -0.1894531, 0.459, -0.9892578, 0.459, 0.0258789, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, 0.0193027, 0.4725, -0.2763672, 0.4725, -0.9775391, 0.4725, 0.1225586, 0.0181731, -0.0046998, 0.4725, 0.3491211, 0.4725, -0.9316406, 0.4725, -0.1904297, 0.0181731, -0.0028534, 0.4725, 0.1166992, 0.4725, -1.0048828, 0.4725, -0.0078125, 0.0181731, 0.0193027, 0.4725, -0.1933594, 0.4725, -0.9863281, 0.4725, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, 0.0226596, 0.486, -0.2758789, 0.486, -0.9790039, 0.486, 0.125, 0.0186923, -0.0038605, 0.486, 0.3427734, 0.486, -0.9326172, 0.486, -0.1894531, 0.0186923, -0.0035248, 0.486, 0.1176758, 0.486, -1.0039062, 0.486, -0.0083008, 0.0186923, 0.0172885, 0.486, -0.1977539, 0.486, -0.9819336, 0.486, 0.0273438, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, 0.0246738, 0.4995, -0.2749023, 0.4995, -0.9785156, 0.4995, 0.125, 0.0192115, -0.0043641, 0.4995, 0.3398438, 0.4995, -0.9311523, 0.4995, -0.1914062, 0.0192115, -0.0052033, 0.4995, 0.1240234, 0.4995, -1.0039062, 0.4995, -0.0087891, 0.0192115, 0.0152743, 0.4995, -0.1879883, 0.4995, -0.9863281, 0.4995, 0.0234375, , , , , , , , , , , , , , , , , , , , , , 
0.0197308, 0.0236667, 0.513, -0.2773438, 0.513, -0.9770508, 0.513, 0.1210938, 0.0197308, -0.0052033, 0.513, 0.3388672, 0.513, -0.9316406, 0.513, -0.1958008, 0.0197308, -0.0072175, 0.513, 0.1259766, 0.513, -1.0048828, 0.513, -0.0029297, 0.0197308, 0.0112459, 0.513, -0.1860352, 0.513, -0.987793, 0.513, 0.0249023, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.023331, 0.5265, -0.28125, 0.5265, -0.9790039, 0.5265, 0.121582, 0.02025, -0.0072175, 0.5265, 0.3398438, 0.5265, -0.9345703, 0.5265, -0.1914062, 0.02025, -0.0078889, 0.5265, 0.1196289, 0.5265, -1.0063477, 0.5265, -0.0068359, 0.02025, 0.0090639, 0.5265, -0.1914062, 0.5265, -0.9887695, 0.5265, 0.0219727, , , , , , , , , , , , , , , , , , , , , , 
0.0207692, 0.0224918, 0.54, -0.28125, 0.54, -0.9780273, 0.54, 0.1230469, 0.0207692, -0.0085603, 0.54, 0.340332, 0.54, -0.9365234, 0.54, -0.1855469, 0.0207692, -0.0085603, 0.54, 0.1201172, 0.54, -1.0068359, 0.54, -0.0087891, 0.0207692, 0.0095674, 0.54, -0.1865234, 0.54, -0.9907227, 0.54, 0.0224609, , , , , , , , , , , , , , , , , , , , , , 
0.0212885, 0.0226596, 0.5535, -0.2788086, 0.5535, -0.9711914, 0.5535, 0.1181641, 0.0212885, -0.0085603, 0.5535, 0.3457031, 0.5535, -0.9306641, 0.5535, -0.1826172, 0.0212885, -0.0092317, 0.5535, 0.1206055, 0.5535, -1.0019531, 0.5535, -0.0058594, 0.0212885, 0.0099031, 0.5535, -0.1860352, 0.5535, -0.9853516, 0.5535, 0.027832, , , , , , , , , , , , , , , , , , , , , , 
0.0218077, 0.0240024, 0.567, -0.269043, 0.567, -0.9755859, 0.567, 0.1176758, 0.0218077, -0.0082246, 0.567, 0.3505859, 0.567, -0.9282227, 0.567, -0.1850586, 0.0218077, -0.0083925, 0.567, 0.1166992, 0.567, -1.0014648, 0.567, -0.0068359, 0.0218077, 0.0112459, 0.567, -0.1967773, 0.567, -0.9804688, 0.567, 0.0263672, , , , , , , , , , , , , , , , , , , , , , 
0.0223269, 0.023331, 0.5805, -0.2670898, 0.5805, -0.9760742, 0.5805, 0.1220703, 0.0223269, -0.0075532, 0.5805, 0.3442383, 0.5805, -0.9321289, 0.5805, -0.1850586, 0.0223269, -0.008896, 0.5805, 0.1264648, 0.5805, -1.0039062, 0.5805, -0.0053711, 0.0223269, 0.0117494, 0.5805, -0.1962891, 0.5805, -0.9848633, 0.5805, 0.0209961, , , , , , , , , , , , , , , , , , , , , , 
