Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:07:40 PM
Collection Length (seconds):, 42.525
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0103846, -0.0043641, 0.27, -0.2573242, 0.27, -0.9858398, 0.27, 0.1240234, 0.0103846, -0.0077211, 0.27, 0.3364258, 0.27, -0.9379883, 0.27, -0.1953125, 0.0103846, -0.0077211, 0.27, 0.1435547, 0.27, -1.0048828, 0.27, -0.0307617, 0.0103846, 0.0246738, 0.27, -0.1625977, 0.27, -0.9941406, 0.27, 0.0532227, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, -0.0016785, 0.2835, -0.2592773, 0.2835, -0.9824219, 0.2835, 0.125, 0.0109038, -0.0072175, 0.2835, 0.331543, 0.2835, -0.9365234, 0.2835, -0.1972656, 0.0109038, -0.0072175, 0.2835, 0.1499023, 0.2835, -1.003418, 0.2835, -0.0307617, 0.0109038, 0.0253452, 0.2835, -0.1606445, 0.2835, -0.9897461, 0.2835, 0.0532227, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, -0.0028534, 0.297, -0.2626953, 0.297, -0.9814453, 0.297, 0.121582, 0.0114231, -0.0102388, 0.297, 0.3291016, 0.297, -0.9350586, 0.297, -0.199707, 0.0114231, -0.0077211, 0.297, 0.1523438, 0.297, -0.9995117, 0.297, -0.0288086, 0.0114231, 0.026688, 0.297, -0.1621094, 0.297, -0.9873047, 0.297, 0.0546875, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, -0.0057069, 0.3105, -0.262207, 0.3105, -0.9799805, 0.3105, 0.1230469, 0.0119423, -0.0109102, 0.3105, 0.3261719, 0.3105, -0.934082, 0.3105, -0.1992188, 0.0119423, -0.0065461, 0.3105, 0.1518555, 0.3105, -0.9970703, 0.3105, -0.0288086, 0.0119423, 0.0280308, 0.3105, -0.1582031, 0.3105, -0.9873047, 0.3105, 0.0541992, , , , , , , , , , , , , , , , , , , , , , 
0.0124615, -0.0035248, 0.324, -0.2636719, 0.324, -0.9746094, 0.324, 0.1235352, 0.0124615, -0.008896, 0.324, 0.3242188, 0.324, -0.9296875, 0.324, -0.1987305, 0.0124615, -0.0048676, 0.324, 0.1513672, 0.324, -0.9956055, 0.324, -0.0288086, 0.0124615, 0.0253452, 0.324, -0.1586914, 0.324, -0.984375, 0.324, 0.0507812, , , , , , , , , , , , , , , , , , , , , , 
0.0129808, 0.0025177, 0.3375, -0.2651367, 0.3375, -0.9775391, 0.3375, 0.1225586, 0.0129808, -0.0068818, 0.3375, 0.3256836, 0.3375, -0.9296875, 0.3375, -0.1977539, 0.0129808, -0.0038605, 0.3375, 0.1450195, 0.3375, -0.9985352, 0.3375, -0.0268555, 0.0129808, 0.0203098, 0.3375, -0.1708984, 0.3375, -0.9804688, 0.3375, 0.0551758, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.0057069, 0.351, -0.2641602, 0.351, -0.9785156, 0.351, 0.1235352, 0.0135, -0.0075532, 0.351, 0.331543, 0.351, -0.9321289, 0.351, -0.1962891, 0.0135, -0.0031891, 0.351, 0.1391602, 0.351, -1.0043945, 0.351, -0.0288086, 0.0135, 0.0169528, 0.351, -0.1655273, 0.351, -0.984375, 0.351, 0.0527344, , , , , , , , , , , , , , , , , , , , , , 
0.0140192, 0.005539, 0.3645, -0.2626953, 0.3645, -0.9794922, 0.3645, 0.1240234, 0.0140192, -0.0085603, 0.3645, 0.331543, 0.3645, -0.9350586, 0.3645, -0.1948242, 0.0140192, -0.0035248, 0.3645, 0.1445312, 0.3645, -1.0029297, 0.3645, -0.0292969, 0.0140192, 0.0169528, 0.3645, -0.1572266, 0.3645, -0.9858398, 0.3645, 0.0507812, , , , , , , , , , , , , , , , , , , , , , 
0.0145385, 0.005539, 0.378, -0.2597656, 0.378, -0.9794922, 0.378, 0.1240234, 0.0145385, -0.0078889, 0.378, 0.3339844, 0.378, -0.9326172, 0.378, -0.1933594, 0.0145385, -0.0048676, 0.378, 0.152832, 0.378, -0.9980469, 0.378, -0.0263672, 0.0145385, 0.0172885, 0.378, -0.15625, 0.378, -0.9824219, 0.378, 0.0512695, , , , , , , , , , , , , , , , , , , , , , 
0.0150577, 0.0102388, 0.3915, -0.2583008, 0.3915, -0.9765625, 0.3915, 0.1235352, 0.0150577, -0.0065461, 0.3915, 0.3374023, 0.3915, -0.9301758, 0.3915, -0.1972656, 0.0150577, -0.005539, 0.3915, 0.1557617, 0.3915, -0.9946289, 0.3915, -0.0273438, 0.0150577, 0.0162814, 0.3915, -0.1591797, 0.3915, -0.9848633, 0.3915, 0.050293, , , , , , , , , , , , , , , , , , , , , , 
