channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
0.0,-5.0,43.0,-24.0,-9.0,-13.0,-3.0,2.0,0.2617079810588132,0.11169676675738138,0.12841384143480838,0.46373639022025304,0.2297125994202274,0.48795971735913884
3.0,12.0,-11.0,19.0,-6.0,-6.0,-5.0,-4.0,0.27646004060926566,0.08288641278992301,0.12612623261350364,0.44735548916622025,0.19891433213164716,0.47639567090344126
-9.0,15.0,103.0,-11.0,-7.0,-1.0,-4.0,-7.0,0.2890703356910478,0.04267536265759353,0.1201211880398721,0.43034121238301465,0.15881585561353231,0.46235043854513813
-25.0,-21.0,-98.0,-9.0,-9.0,-2.0,2.0,-2.0,0.25185143215478134,0.08867966297351945,0.050512728504948534,0.4646480901219748,0.01360806134824638,0.36755191303738355
3.0,-13.0,-96.0,-23.0,-2.0,2.0,0.0,2.0,0.20563964241258903,-0.013047424193831536,0.06608675634298755,0.4841789481542588,0.07493217318566686,0.43933257600387166
14.0,2.0,17.0,28.0,2.0,5.0,1.0,0.0,0.19626544633666332,0.00593171783337193,0.07149435982744601,0.4937715944282745,0.1132911300761921,0.45584993481612057
3.0,-8.0,17.0,11.0,-6.0,-5.0,-3.0,1.0,0.19743992754285,0.03889785779410476,0.08362991775528106,0.4981247712073669,0.1606755075766338,0.4731060835408123
-4.0,-7.0,-128.0,-11.0,5.0,3.0,3.0,1.0,0.20820219288534259,0.07662946801148776,0.09917632235093349,0.4966406163116052,0.20464770912196223,0.4868589326051725
-31.0,1.0,48.0,-2.0,4.0,1.0,3.0,-3.0,0.22518243933248172,0.10728276204011236,0.11402370445365106,0.48970783721179834,0.23427766894701885,0.4943366023132515
11.0,-17.0,-9.0,9.0,-6.0,1.0,-1.0,3.0,0.24414530274577495,0.12058914862070197,0.12446710077941825,0.4783061037397935,0.24295835221246834,0.49452144263526143
12.0,65.0,-10.0,9.0,-4.0,-2.0,0.0,0.0,0.2617079810588132,0.11169676675738138,0.12841384143480838,0.46373639022025304,0.2297125994202274,0.48795971735913884
6.0,28.0,-49.0,-22.0,2.0,0.0,-2.0,3.0,0.27646004060926566,0.08288641278992301,0.12612623261350364,0.44735548916622025,0.19891433213164716,0.47639567090344126
-23.0,-10.0,-92.0,-67.0,-4.0,22.0,8.0,-9.0,0.2890703356910478,0.04267536265759353,0.1201211880398721,0.43034121238301465,0.15881585561353231,0.46235043854513813
16.0,-2.0,-56.0,-26.0,-4.0,-1.0,3.0,4.0,0.20563964241258903,-0.013047424193831536,0.06608675634298755,0.4841789481542588,0.07493217318566686,0.43933257600387166
-6.0,44.0,-19.0,2.0,8.0,11.0,-1.0,2.0,0.19626544633666332,0.00593171783337193,0.07149435982744601,0.4937715944282745,0.1132911300761921,0.45584993481612057
4.0,-35.0,73.0,-39.0,-13.0,-6.0,-4.0,-10.0,0.19743992754285,0.03889785779410476,0.08362991775528106,0.4981247712073669,0.1606755075766338,0.4731060835408123
-5.0,25.0,-46.0,43.0,8.0,3.0,0.0,-5.0,0.20820219288534259,0.07662946801148776,0.09917632235093349,0.4966406163116052,0.20464770912196223,0.4868589326051725
-23.0,-24.0,127.0,-22.0,-7.0,-8.0,-11.0,-9.0,0.22518243933248172,0.10728276204011236,0.11402370445365106,0.48970783721179834,0.23427766894701885,0.4943366023132515
18.0,-9.0,9.0,-1.0,-8.0,-2.0,-1.0,2.0,0.24414530274577495,0.12058914862070197,0.12446710077941825,0.4783061037397935,0.24295835221246834,0.49452144263526143
10.0,-25.0,43.0,47.0,17.0,4.0,0.0,4.0,0.2617079810588132,0.11169676675738138,0.12841384143480838,0.46373639022025304,0.2297125994202274,0.48795971735913884
-25.0,-21.0,-98.0,-9.0,-9.0,-2.0,2.0,-2.0,0.27646004060926566,0.08288641278992301,0.12612623261350364,0.44735548916622025,0.19891433213164716,0.47639567090344126
3.0,-13.0,-96.0,-23.0,-2.0,2.0,0.0,2.0,0.2890703356910478,0.04267536265759353,0.1201211880398721,0.43034121238301465,0.15881585561353231,0.46235043854513813
-6.0,-17.0,-72.0,9.0,2.0,-7.0,0.0,0.0,0.25185143215478134,0.08867966297351945,0.050512728504948534,0.4646480901219748,0.01360806134824638,0.36755191303738355
7.0,40.0,44.0,-21.0,0.0,5.0,0.0,2.0,0.20563964241258903,-0.013047424193831536,0.06608675634298755,0.4841789481542588,0.07493217318566686,0.43933257600387166
4.0,-3.0,-62.0,5.0,10.0,4.0,1.0,5.0,0.19626544633666332,0.00593171783337193,0.07149435982744601,0.4937715944282745,0.1132911300761921,0.45584993481612057
-5.0,24.0,57.0,-6.0,-2.0,-5.0,-2.0,-9.0,0.19743992754285,0.03889785779410476,0.08362991775528106,0.4981247712073669,0.1606755075766338,0.4731060835408123
-6.0,-39.0,4.0,1.0,-7.0,2.0,1.0,-5.0,0.20820219288534259,0.07662946801148776,0.09917632235093349,0.4966406163116052,0.20464770912196223,0.4868589326051725
-3.0,25.0,70.0,10.0,20.0,1.0,5.0,4.0,0.22518243933248172,0.10728276204011236,0.11402370445365106,0.48970783721179834,0.23427766894701885,0.4943366023132515
0.0,-4.0,-25.0,-11.0,-9.0,0.0,-3.0,-2.0,0.24414530274577495,0.12058914862070197,0.12446710077941825,0.4783061037397935,0.24295835221246834,0.49452144263526143
-4.0,3.0,15.0,0.0,0.0,5.0,0.0,0.0,0.2617079810588132,0.11169676675738138,0.12841384143480838,0.46373639022025304,0.2297125994202274,0.48795971735913884
-1.0,-4.0,64.0,-22.0,-6.0,-8.0,-4.0,-5.0,0.27646004060926566,0.08288641278992301,0.12612623261350364,0.44735548916622025,0.19891433213164716,0.47639567090344126
7.0,13.0,79.0,20.0,1.0,1.0,1.0,3.0,0.2890703356910478,0.04267536265759353,0.1201211880398721,0.43034121238301465,0.15881585561353231,0.46235043854513813
0.0,-6.0,-13.0,0.0,-4.0,-1.0,0.0,0.0,0.25185143215478134,0.08867966297351945,0.050512728504948534,0.4646480901219748,0.01360806134824638,0.36755191303738355
-4.0,-25.0,-128.0,-20.0,-7.0,-7.0,-5.0,-4.0,0.20563964241258903,-0.013047424193831536,0.06608675634298755,0.4841789481542588,0.07493217318566686,0.43933257600387166
-1.0,2.0,-22.0,-1.0,1.0,2.0,1.0,0.0,0.19626544633666332,0.00593171783337193,0.07149435982744601,0.4937715944282745,0.1132911300761921,0.45584993481612057
-11.0,-40.0,-4.0,-2.0,-5.0,-4.0,-2.0,-5.0,0.19743992754285,0.03889785779410476,0.08362991775528106,0.4981247712073669,0.1606755075766338,0.4731060835408123
