Application:, Trigno Discover (2.0.1.2)
Date/Time:, 7/3/2025 10:45:47 AM
Collection Length (seconds):, 44.847
Bicep_R (83254), , , , , , , , , , , , , , Tricep_R (83087)
sensor mode: 50, , , , , , , , , , , , , , sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
, 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0174706, -0.0135958, 0.1485, -0.1491089, 0.1485, -0.5164185, 0.1485, 0.8041992, 0.1485, -17.0458012, 0.1485, 11.3816795, 0.1485, -4.7099237, 0.0174706, 0.0139315, 0.1485, -0.6191406, 0.1485, -0.6968994, 0.1485, -0.4439087, 0.1485, -22.1526718, 0.1485, 6.7480917, 0.1485, 3.3206108, , , , , , , , , , , , , , , , , , , , , , 
0.0182647, -0.0151064, 0.15525, -0.147583, 0.15525, -0.5195312, 0.15525, 0.8013916, 0.15525, -17.0839691, 0.15525, 11.5954199, 0.15525, -4.3969464, 0.0182647, 0.0146029, 0.15525, -0.6144409, 0.15525, -0.6969604, 0.15525, -0.4447632, 0.15525, -22.5725193, 0.15525, 6.3587785, 0.15525, 3.2900763, , , , , , , , , , , , , , , , , , , , , , 
0.0190588, -0.0085603, 0.162, -0.1428223, 0.162, -0.522522, 0.162, 0.7990112, 0.162, -16.641222, 0.162, 11.7480917, 0.162, -4.2290077, 0.0190588, 0.0139315, 0.162, -0.6106567, 0.162, -0.6992188, 0.162, -0.4480591, 0.162, -23.0152664, 0.162, 6.8549619, 0.162, 2.9312978, , , , , , , , , , , , , , , , , , , , , , 
0.0198529, -0.0063783, 0.16875, -0.1397705, 0.16875, -0.5206299, 0.16875, 0.8002319, 0.16875, -16.4122143, 0.16875, 11.5114508, 0.16875, -4.0763359, 0.0198529, 0.0172885, 0.16875, -0.6082153, 0.16875, -0.7008057, 0.16875, -0.4504395, 0.16875, -22.8854961, 0.16875, 8.2366409, 0.16875, 2.1984732, , , , , , , , , , , , , , , , , , , , , , 
0.0206471, -0.0052033, 0.1755, -0.1379395, 0.1755, -0.5202026, 0.1755, 0.7979126, 0.1755, -16.2977104, 0.1755, 11.519084, 0.1755, -3.9923663, 0.0206471, 0.0206455, 0.1755, -0.6098022, 0.1755, -0.703125, 0.1755, -0.4443359, 0.1755, -22.9007626, 0.1755, 10.480916, 0.1755, 1.5648855, , , , , , , , , , , , , , , , , , , , , , 
0.0214412, -0.0052033, 0.18225, -0.137207, 0.18225, -0.5161743, 0.18225, 0.7982178, 0.18225, -16.519083, 0.18225, 11.480916, 0.18225, -4.0992365, 0.0214412, 0.0193027, 0.18225, -0.6201782, 0.18225, -0.7058105, 0.18225, -0.4379272, 0.18225, -22.9160309, 0.18225, 11.8702288, 0.18225, 1.1526718, , , , , , , , , , , , , , , , , , , , , , 
0.0222353, -0.0095674, 0.189, -0.1343384, 0.189, -0.5194092, 0.189, 0.7999878, 0.189, -16.8702297, 0.189, 12.3816795, 0.189, -4.1832061, 0.0222353, 0.0166171, 0.189, -0.6291504, 0.189, -0.7056274, 0.189, -0.4294434, 0.189, -22.8778629, 0.189, 12.1526718, 0.189, 0.908397, , , , , , , , , , , , , , , , , , , , , , 
0.0230294, -0.0082246, 0.19575, -0.1317139, 0.19575, -0.5211182, 0.19575, 0.8044434, 0.19575, -17.0458012, 0.19575, 13.038168, 0.19575, -4.1221375, 0.0230294, 0.0115816, 0.19575, -0.6350098, 0.19575, -0.7091675, 0.19575, -0.4243164, 0.19575, -23.1068707, 0.19575, 11.2137403, 0.19575, 0.778626, , , , , , , , , , , , , , , , , , , , , , 
0.0238235, -0.0102388, 0.2025, -0.1365967, 0.2025, -0.5265503, 0.2025, 0.8016357, 0.2025, -16.7862587, 0.2025, 13.7709923, 0.2025, -4.1297708, 0.0238235, 0.012253, 0.2025, -0.6364136, 0.2025, -0.7070312, 0.2025, -0.4222412, 0.2025, -23.0839691, 0.2025, 10.3053436, 0.2025, 0.7938932, , , , , , , , , , , , , , , , , , , , , , 
0.0246176, -0.0104067, 0.20925, -0.1415405, 0.20925, -0.5256958, 0.20925, 0.803772, 0.20925, -16.5725193, 0.20925, 13.717557, 0.20925, -4.1374044, 0.0246176, 0.0142672, 0.20925, -0.6361084, 0.20925, -0.7050781, 0.20925, -0.4228516, 0.20925, -22.9083977, 0.20925, 8.1374044, 0.20925, 0.7022901, , , , , , , , , , , , , , , , , , , , , , 
