file_id,window_idx,MAV,WL,IEMG,VAR,ZC,SSC,WAMP,label
Trial_8,72,0.07823973359433545,0.017196188698480414,30.122297433819146,2.8564750794508957e-05,27,60,374,heavy
Trial_8,73,0.0838430032671697,0.02201039731357597,32.279556257860335,1.0307789358849757e-05,24,71,369,heavy
Trial_8,74,0.07834742440714376,0.02595825294932788,30.16375839675035,5.54131681612856e-05,26,71,367,heavy
Trial_8,75,0.06708729131854577,0.017341286126579647,25.828607157640118,3.102388869332661e-05,25,58,367,heavy
Trial_8,76,0.06132850760051967,0.0056751794197307595,23.611475426200073,1.5019368938468928e-06,27,57,368,heavy
Trial_8,77,0.05949209873074047,0.0034867112991147226,22.90445801133508,1.0146046952804424e-06,34,59,359,heavy
Trial_8,78,0.05773003473644678,0.0035616137108475943,22.22606337353201,1.0743054196731958e-06,34,62,357,heavy
Trial_8,79,0.056425145569852925,0.003166425612927855,21.723681044393377,3.4963011635194345e-07,34,68,364,heavy
Trial_8,80,0.05661708212468453,0.0026485150442012856,21.797576618003546,4.802059503509556e-07,40,66,372,heavy
Trial_8,81,0.057710488925995194,0.001804281150139489,22.21853823650815,3.183344058442041e-07,42,69,376,heavy
Trial_8,82,0.058378063219297456,0.0008645831668313494,22.47555433942952,4.542553489792193e-08,36,72,367,heavy
Trial_8,83,0.057838892634331555,0.00465277028086146,22.26797366421765,1.4877098845267073e-06,34,66,362,heavy
Trial_8,84,0.05447898680434466,0.009752235915702165,20.974409919672695,9.265897320194359e-06,34,63,360,heavy
Trial_8,85,0.05072113766885582,0.010596610435485924,19.52763800250949,3.1960297724937944e-06,31,60,362,heavy
Trial_8,86,0.052030610478236095,0.010281454843338367,20.031785034120897,7.739367969888404e-06,35,56,362,heavy
Trial_8,87,0.05454035682055812,0.01507191719988718,20.998037375914876,4.952765030010952e-06,29,51,349,heavy
Trial_8,88,0.049140598674838075,0.02137600711426265,18.91913048981266,3.971436282289169e-05,20,46,294,heavy
Trial_8,89,0.03733831154015926,0.02601350518074918,14.375249942961313,5.503068144231216e-05,24,49,242,no weight
Trial_8,90,0.023279663352547417,0.03022659200011835,8.962670390730755,8.028171692001668e-05,35,59,220,no weight
Trial_8,91,0.01002748549550794,0.01939357087354523,3.860581915770557,4.123624770901864e-05,40,60,191,no weight
Trial_8,92,0.004356620089069789,0.0038777087067350833,1.6772987342918688,4.5762514741668936e-07,41,69,207,no weight
Trial_8,93,0.004278881395911053,0.00035881024793077247,1.6473693374257554,1.017380038468043e-08,39,67,236,no weight
Trial_8,94,0.004497175873528803,0.0005145708921792452,1.7314127113085893,2.452152526500818e-08,39,68,235,no weight
Trial_8,95,0.004728096908138289,0.0003638942078507358,1.820317309633241,1.2452533009194133e-08,38,72,214,no weight
Trial_8,96,0.004814972328294572,0.0001132350896111264,1.8537643463934101,2.1568332619975612e-10,35,57,204,no weight
Trial_8,97,0.004724973906377954,0.0004191177248777083,1.8191149539555123,1.5100521873385903e-08,42,49,207,no weight
Trial_8,98,0.004392301615810199,0.0009121977565451586,1.6910361220869268,8.33366220714634e-08,46,48,205,no weight
Trial_8,99,0.003995989032946987,0.0008792400768178159,1.53845577768459,3.462610985500594e-08,45,56,223,no weight
Trial_8,100,0.003990521080810243,0.0006680026400031143,1.5363506161119438,2.577393177603274e-08,37,51,213,no weight
Trial_8,101,0.004225326778488052,0.00047937080707384765,1.6267508097179002,1.3401332408983953e-08,35,52,196,no weight
Trial_8,102,0.004265730854357247,0.0002959191934674742,1.64230637892754,3.9976802607956734e-09,37,62,205,no weight
Trial_8,103,0.004142160674732259,0.0002861112083712711,1.59473185977192,6.599574429501938e-09,36,56,191,no weight
Trial_8,104,0.003986102854783382,0.0003381786908130415,1.534649599091602,1.013062797720484e-08,37,58,184,no weight
Trial_8,105,0.0038128073569477913,0.00034223973550573123,1.4679308324248996,9.918458539403679e-09,40,56,197,no weight
Trial_8,106,0.003645055969630508,0.0003287453396529686,1.4033465483077456,8.96451372026342e-09,38,44,189,no weight
Trial_8,107,0.0035077026355656796,0.00023177393308533968,1.3504655146927866,4.3054873632373715e-09,40,51,192,no weight
Trial_8,108,0.003464603533016397,0.00010194203832707095,1.333872360211313,2.633709383447793e-10,54,64,207,no weight
Trial_8,109,0.0034874702958899743,5.4459005088246856e-05,1.34267606391764,1.5525645225738196e-10,45,67,196,no weight
Trial_8,110,0.003490223442231477,3.8140377645429126e-05,1.3437360252591186,7.259187645303582e-11,32,53,172,no weight
Trial_8,111,0.00351438738755505,0.00023418050414333,1.3530391442086942,3.482155658877126e-09,31,39,178,no weight
Trial_8,112,0.0036889747007907677,0.0005174224906838382,1.4202552598044456,2.6908658059957022e-08,29,47,194,no weight
Trial_8,113,0.0039439430980889355,0.0003901133707680197,1.5184180927642401,1.6672890544247628e-08,40,67,206,no weight
Trial_8,114,0.004060631159568267,9.365662792679575e-05,1.5633429964337826,3.1020106046345693e-10,47,61,201,no weight
Trial_8,115,0.0040849866900267515,0.0001241849505539674,1.5727198756602994,1.1785037581811213e-09,42,53,196,no weight
